Date,Price,Open,High,Low,Vol,Change
09/23/2024,63339.99,63578.76,64745.88,62538.75,2.407.805.287,0
09/24/2024,64262.7,63339.99,64688.0,62700.0,2.318.504.759,0
09/25/2024,63152.01,64262.7,64817.99,62947.08,1.781.311.168,0
09/26/2024,65173.99,63152.01,65839.0,62670.0,2.837.330.593,0
09/27/2024,65769.95,65173.99,66498.0,64819.9,2.204.880.487,0
09/28/2024,65858.0,65769.95,66260.0,65422.23,912.723.316,0
09/29/2024,65602.01,65858.0,66076.12,65432.0,833.774.111,0
09/30/2024,63327.59,65602.01,65618.8,62856.3,3.001.108.752,0
10/01/2024,60805.78,63327.6,64130.63,60164.0,4.367.148.108,0
10/02/2024,60649.28,60804.92,62390.31,60000.0,3.153.470.118,0
10/03/2024,60752.71,60649.27,61477.19,59828.11,2.622.143.472,0
10/04/2024,62086.0,60752.72,62484.85,60459.9,2.129.465.994,0
10/05/2024,62058.0,62086.0,62370.56,61689.26,780.746.141,0
10/06/2024,62819.91,62058.01,62975.0,61798.97,890.686.177,0
10/07/2024,62224.0,62819.91,64478.19,62128.0,259.661.852,0
10/08/2024,62160.49,62224.01,63200.0,61860.31,1.970.222.371,0
10/09/2024,60636.02,62160.5,62543.75,60301.0,2.001.115.684,0
10/10/2024,60326.39,60636.01,61321.68,58946.0,2.396.792.481,0
10/11/2024,62540.0,60326.4,63417.56,60087.64,2.364.135.209,0
10/12/2024,63206.22,62539.99,63480.0,62487.23,1.091.130.116,0
10/13/2024,62870.02,63206.23,63285.72,62050.0,1.190.921.995,0
10/14/2024,66083.99,62870.02,66500.0,62457.81,3.766.995.222,0
10/15/2024,67074.14,66084.0,67950.0,64800.01,4.368.395.423,0
10/16/2024,67620.01,67074.14,68424.0,66750.49,2.993.825.544,0
10/17/2024,67421.78,67620.0,67939.4,66666.0,2.532.822.861,0
10/18/2024,68428.0,67421.78,69000.0,67192.36,28.725.635,0
10/19/2024,68378.0,68427.99,68693.26,68010.0,819.366.737,0
10/20/2024,69031.99,68377.99,69400.0,68100.0,1.244.247.378,0
10/21/2024,67377.5,69032.0,69519.52,66840.67,3.137.442.184,0
10/22/2024,67426.0,67377.5,67836.01,66571.42,2.459.896.268,0
10/23/2024,66668.65,67426.01,67472.83,65260.0,255.302.407,0
10/24/2024,68198.28,66668.65,68850.0,66510.0,2.258.983.877,0
10/25/2024,66698.33,68198.27,68771.49,65596.29,3.447.971.125,0
10/26/2024,67092.76,66698.32,67454.55,66439.9,118.429.077,0
10/27/2024,68021.7,67092.76,68332.05,66913.73,865.319.592,0
10/28/2024,69962.21,68021.69,70270.0,67618.0,2.904.675.459,0
10/29/2024,72736.42,69962.21,73620.12,69760.0,5.012.860.594,0
10/30/2024,72344.74,72736.41,72961.0,71436.0,2.688.599.056,0
10/31/2024,70292.01,72344.75,72700.0,69685.76,2.935.210.297,0
11/01/2024,69496.01,70292.01,71632.95,68820.14,3.830.186.755,0
11/02/2024,69374.74,69496.0,69914.37,69000.14,1.052.167.243,0
11/03/2024,68775.99,69374.74,69391.0,67478.73,2.499.570.243,0
11/04/2024,67850.01,68775.99,69500.0,66835.0,2.980.039.187,0
11/05/2024,69372.01,67850.01,70577.91,67476.63,3.335.506.888,0
11/06/2024,75571.99,69372.01,76400.0,69298.0,104.126.994.787,0
11/07/2024,75857.89,75571.99,76849.99,74416.0,44.869.422.345,0
11/08/2024,76509.78,75857.89,77199.99,75555.0,36.521.099.583,0
11/09/2024,76677.46,76509.78,76900.0,75714.66,1.694.207.915,0
11/10/2024,80370.01,76677.46,81500.0,76492.0,61.830.100.435,0
11/11/2024,88647.99,80370.01,89530.54,80216.01,82.323.665.776,0
11/12/2024,87952.01,88648.0,89940.0,85072.0,97.299.887.911,0
11/13/2024,90375.2,87952.0,93265.64,86127.99,86.763.854.127,0
11/14/2024,87325.59,90375.21,91790.0,86668.21,5.672.951.086,0
11/15/2024,91032.07,87325.59,91850.0,87073.38,4.792.795.068,0
11/16/2024,90586.92,91032.08,91779.66,90056.17,2.271.787.689,0
11/17/2024,89855.99,90587.98,91449.99,88722.0,2.386.755.609,0
11/18/2024,90464.08,89855.98,92594.0,89376.9,4.654.503.448,0
11/19/2024,92310.79,90464.07,93905.51,90357.0,4.366.004.682,0
11/20/2024,94286.56,92310.8,94831.97,91500.0,42.203.198.712,0
11/21/2024,98317.12,94286.56,98988.0,94040.0,69.228.360.477,0
11/22/2024,98892.0,98317.12,99588.01,97122.11,46.189.309.243,0
11/23/2024,97672.4,98892.0,98908.85,97136.0,2.475.784.367,0
11/24/2024,97900.04,97672.4,98564.0,95734.77,3.120.097.838,0
11/25/2024,93010.01,97900.05,98871.8,92600.19,5.084.745.096,0
11/26/2024,91965.16,93010.01,94973.37,90791.1,5.785.873.138,0
11/27/2024,95863.11,91965.16,97208.21,91792.14,4.115.342.734,0
11/28/2024,95643.98,95863.11,96564.0,94640.0,2.881.454.357,0
11/29/2024,97460.0,95643.99,98619.99,95364.99,2.770.178.231,0
11/30/2024,96407.99,97460.0,97463.95,96092.01,1.450.383.306,0
12/01/2024,97185.18,96407.99,97836.0,95693.88,1.693.860.452,0
12/02/2024,95840.62,97185.17,98130.0,94395.0,3.795.866.981,0
12/03/2024,95849.69,95840.61,96305.52,93578.17,3.582.732.283,0
12/04/2024,98587.32,95849.69,99000.0,94587.83,4.385.053.728,0
12/05/2024,96945.63,98587.32,104088.0,90500.0,109.921.729.662,0
12/06/2024,99740.84,96945.63,101898.99,95981.72,450.495.331,0
12/07/2024,99831.99,99740.84,100439.18,98844.0,149.319.459,0
12/08/2024,101109.59,99831.99,101351.0,98657.7,1.461.299.688,0
12/09/2024,97276.47,101109.6,101215.93,94150.05,5.394.911.595,0
12/10/2024,96593.0,97276.48,98270.0,94256.54,5.170.868.933,0
12/11/2024,101125.0,96593.0,101888.0,95658.24,3.775.378.291,0
12/12/2024,100004.29,101125.0,102540.0,99311.64,2.923.208.745,0
12/13/2024,101424.25,100004.29,101895.26,99205.0,2.190.403.923,0
12/14/2024,101420.0,101424.24,102650.0,100609.41,1.419.170.326,0
12/15/2024,104463.99,101420.0,105250.0,101237.14,22.228.921.775,0
12/16/2024,106058.66,104463.99,107793.07,103333.0,4.130.240.274,0
12/17/2024,106133.74,106058.65,108353.0,105321.49,29.064.936.466,0
